Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG11 1,51.4159,-0.834175,481170,169187,SU811691,371,0,,,Wokingham,"RG40 9, RG40 1, RG40 2, RG45 9, RG11 2, RG40 5, RG41 2, RG41 1, RG41 3, RG40 3"
RG11 2,51.4086,-0.842723,480588,168366,SU805683,392,0,,,Wokingham,"RG41 2, RG40 9, RG40 2, RG11 1, RG41 3, RG41 1, RG45 9, RG40 1, RG41 4, RG11 9"
RG11 3,51.3826,-0.834301,481220,165483,SU812654,251,0,,,Wokingham,"RG40 3, RG40 9, RG40 2, RG45 6, RG11 1, RG40 4, RG11 2, RG41 2, RG11 4, RG45 9"
RG11 4,51.3854,-0.86793,478875,165758,SU788657,342,0,,,Wokingham,"RG40 4, RG41 4, RG11 9, RG11 3, RG40 3, RG41 3, RG41 5, RG11 5, RG41 2, RG11 2"
RG11 5,51.4281,-0.865573,478965,170510,SU789705,326,0,,,Winnersh,"RG41 5, RG11 9, RG41 1, RG41 3, RG41 4, RG41 2, RG11 2, RG11 1, RG11 4, RG40 5"
RG11 6,51.3738,-0.804762,483291,164538,SU832645,275,0,,,Crowthorne,"RG45 6, RG45 7, RG11 7, GU47 8, GU17 8, GU47 7, GU47 9, RG11 3, RG40 3, GU47 0"
RG11 7,51.3672,-0.793962,484055,163816,SU840638,185,0,,,Crowthorne,"RG45 7, RG11 6, GU47 9, RG45 6, GU17 8, GU47 8, GU47 7, GU47 0, GU17 3, GU17 0"
RG11 9,51.4136,-0.863747,479117,168899,SU791688,73,0,,,Wokingham,"RG41 3, RG41 4, RG11 5, RG41 5, RG41 1, RG41 2, RG11 2, RG40 9, RG11 1, RG11 4"
RG12 0,51.4014,-0.741492,487642,167681,SU876676,137,85,7486,3243,Bracknell,"RG12 3, RG12 9, RG12 7, RG12 2, RG12 4, RG42 3, RG42 2, RG12 1, RG12 8, RG42 9"
RG12 1,51.4175,-0.761672,486208,169448,SU862694,382,101,85,49,Bracknell,"RG42 1, RG42 9, RG42 2, RG12 4, RG12 2, RG12 7, RG12 8, RG42 4, RG12 9, RG42 3"
RG12 2,51.4191,-0.744606,487392,169646,SU873696,340,148,5535,2264,Bracknell,"RG42 2, RG42 3, RG12 9, RG12 1, RG12 0, RG12 3, RG42 1, RG42 6, RG42 9, RG42 7"
RG12 3,51.4047,-0.735888,488026,168055,SU880680,357,0,,,Bracknell,"RG12 9, RG12 0, RG42 3, RG12 2, RG12 7, RG12 4, RG42 6, RG42 7, RG12 6, RG42 2"
RG12 4,51.4008,-0.761849,486228,167590,SU862675,395,0,,,Bracknell,"RG12 7, RG12 1, RG12 8, RG12 0, RG42 9, RG42 1, RG12 3, RG42 2, RG12 9, RG12 2"
RG12 5,51.433,-0.781907,484773,171148,SU847711,249,0,,,Binfield,"RG42 4, RG42 5, RG42 1, RG42 9, RG12 8, RG12 1, RG42 2, RG12 2, RG42 6, RG40 5"
RG12 6,51.4306,-0.725751,488681,170947,SU886709,291,0,,,Bracknell,"RG42 7, RG42 3, RG42 6, RG12 2, RG12 9, RG42 2, RG12 3, RG12 0, RG12 1, SL5 8"
RG12 7,51.4019,-0.756824,486575,167719,SU865677,385,271,17371,7383,Bracknell,"RG12 4, RG12 0, RG12 1, RG12 8, RG12 3, RG42 2, RG12 9, RG42 9, RG12 2, RG42 1"
RG12 8,51.4054,-0.775293,485284,168086,SU852680,314,200,11450,4337,Bracknell,"RG42 9, RG12 4, RG42 1, RG12 7, RG12 1, RG42 4, RG12 5, RG42 5, RG12 0, RG42 2"
RG12 9,51.4092,-0.73981,487745,168550,SU877685,380,273,10282,4642,Bracknell,"RG12 3, RG12 0, RG12 2, RG42 3, RG12 7, RG42 2, RG12 1, RG12 4, RG42 6, RG42 7"
RG13 1,51.4068,-1.32909,446762,167744,SU467677,285,0,,,Newbury,"RG14 1, RG14 5, RG14 2, RG14 3, RG13 2, RG14 7, RG14 6, RG14 9, RG13 3, RG20 8"
